t,x,y
0.01,85.90923309,68.96103668
0.02,88.15385437,72.08585358
0.03,88.15385437,72.08585358
0.04,85.40258026,71.01637268
0.05,89.58446503,67.36288452
0.06,89.58446503,67.36288452
0.07,86.16015625,67.59792328
0.08,88.09952545,70.32404327
0.09,87.90695953,68.80873871
0.1,86.01158905,67.92858887
0.11,87.05281067,76.01105499
0.12,86.21406555,72.52117157
0.13,87.79186249,71.61552429
0.14,87.1052475,64.33312225
0.15,87.81056213,64.9413147
0.16,87.72803497,64.71273041
0.17,88.03057861,69.57431793
0.18,86.25133514,72.48052216
0.19,86.84688568,76.83519745
0.2,86.20059967,71.93273163
0.21,83.76555634,63.39762878
0.22,87.73262024,66.61746979
0.23,90.81765747,67.87653351
0.24,87.8970871,75.04035187
0.25,85.81176758,73.56329346
0.26,89.83867645,67.19197845
0.27,89.83867645,67.19197845
0.28,89.83867645,67.19197845
0.29,85.9438324,66.16059875
0.3,86.49021912,76.88043213
0.31,86.49021912,76.88043213
0.32,88.98329163,65.05715179
0.33,88.98329163,65.05715179
0.34,87.4862442,63.62113571
0.35,88.7694931,71.53968048
0.36,86.44527435,71.37883759
0.37,86.25680542,72.77410889
0.38,87.37096405,69.51282501
0.39,88.10691071,72.63343048
0.4,87.09200287,66.78887177
0.41,86.62260437,70.21298981
0.42,86.62260437,70.21298981
0.43,86.62260437,70.21298981
0.44,88.52529144,68.99575043
0.45,87.24321747,63.06064606
0.46,87.43357849,70.69471741
0.47,87.47884369,67.93605042
0.48,87.65462494,67.07509613
0.49,86.3358078,68.56690979
0.5,86.44269562,75.11078644
0.51,88.53757477,74.74981689
0.52,86.67033386,73.53448486
0.53,87.71743011,72.44439697
0.54,88.29187012,67.05340576
0.55,86.94790649,67.19798279
0.56,85.62018585,60.62309265
0.57,86.97411346,66.70126343
0.58,89.28729248,71.98368835
0.59,87.10285187,68.24732971
0.6,86.45211029,65.33328247
0.61,86.45211029,65.33328247
0.62,87.25878906,74.83188629
0.63,86.98273468,80.90898895
0.64,87.15146637,76.75990295
0.65,88.36975861,67.16675568
0.66,86.41107178,64.13909149
0.67,85.70828247,59.66226959
0.68,86.59906006,63.74264145
0.69,86.25970459,73.0855484
0.7,88.64569092,74.17507935
0.71,88.68006134,69.86664581
0.72,85.24996185,63.90143967
0.73,83.56616211,65.50979614
0.74,87.9101944,69.42601013
0.75,88.62919617,76.80970764
0.76,85.72382355,76.17610168
0.77,86.65339661,79.77584839
0.78,86.03278351,66.47460938
0.79,86.61503601,56.82339096
0.8,86.97081757,61.09162903
0.81,86.04920197,68.0012207
0.82,86.0969696,75.65696716
0.83,86.36712646,70.07099152
0.84,89.15099335,67.76700592
0.85,86.10163116,65.55895996
0.86,85.47564697,68.75756073
0.87,86.03873444,74.69021606
0.88,86.81430817,79.57267761
0.89,87.81377411,76.69020081
0.9,85.5066452,66.17254639
0.91,85.10185242,58.98416138
0.92,87.68262482,58.17603302
0.93,86.7783432,70.24797058
0.94,85.44545746,72.57236481
0.95,86.62969208,69.23384857
0.96,88.09288788,69.64061737
0.97,86.53582764,67.10418701
0.98,85.4324646,69.60436249
0.99,87.134758,74.02107239
1,87.18479156,75.67925262
1.01,85.37182617,73.23680878
1.02,87.31695557,65.61186218
1.03,88.07640076,62.65678787
1.04,85.15301514,68.62213898
1.05,87.73516083,78.768013
1.06,88.65109253,66.58747864
1.07,83.90395355,59.53633118
1.08,85.54288483,64.80211639
1.09,87.30873108,67.44821167
1.1,87.12754059,76.98925781
1.11,85.62921143,74.98027802
1.12,86.32450867,72.44626617
1.13,87.27194977,70.24216461
1.14,87.22106934,65.24864197
1.15,85.71868134,67.44321442
1.16,86.1949234,73.09638977
1.17,86.94522858,72.29518127
1.18,87.21688843,58.93974686
1.19,84.60694885,59.06734848
1.2,85.00550079,68.89292908
1.21,88.34411621,80.12584686
1.22,88.72485352,81.65598297
1.23,88.72485352,81.65598297
1.24,87.28813934,69.19997406
1.25,87.64806366,63.84890747
1.26,82.88117981,67.1259079
1.27,86.89795685,73.28747559
1.28,89.62395477,72.33019257
1.29,89.02134705,74.46157837
1.3,84.62844849,59.76962662
1.31,85.61517334,64.295578
1.32,85.15300751,66.16462708
1.33,86.4794693,80.20452881
1.34,88.34830475,72.54904938
1.35,85.53879547,67.59414673
1.36,86.55143738,69.65406036
1.37,87.79812622,66.68032074
1.38,88.13227081,72.320755
1.39,85.26477051,66.68425751
1.4,85.3917923,70.81980133
1.41,87.52046967,71.69735718
1.42,88.31150055,67.59228516
1.43,86.57966614,68.91670227
1.44,85.8760376,73.37195587
1.45,88.17378235,74.79078674
1.46,87.84305573,64.02742767
1.47,85.64784241,63.97759628
1.48,87.4781189,69.18706512
1.49,89.00260925,69.64710999
1.5,88.28482056,75.93570709
1.51,85.00777435,71.01950836
1.52,85.09636688,75.33500671
1.53,85.99768829,75.80014038
1.54,86.30983734,64.69685364
1.55,87.86363983,61.37498856
1.56,89.6873703,56.87266922
1.57,88.4571228,65.5828476
1.58,85.36842346,70.93756104
1.59,86.61066437,76.01686859
1.6,86.84338379,81.62679291
1.61,86.50596619,77.60211182
1.62,88.06319427,70.38858032
1.63,86.52397919,64.35511017
1.64,87.64870453,68.64103699
1.65,89.85507965,63.69874573
1.66,87.57926941,66.69281006
1.67,86.8445816,65.50554657
1.68,88.07582855,69.34061432
1.69,88.25852203,76.3473053
1.7,86.96973419,68.93907928
1.71,85.91538239,73.96161652
1.72,88.01561737,70.43546295
1.73,86.73601532,69.92737579
1.74,88.00695038,73.99528503
1.75,85.36680603,72.72680664
1.76,87.8166275,71.30503845
1.77,89.53960419,62.18026352
1.78,87.05764771,57.96613693
1.79,85.15536499,59.0536232
1.8,87.74482727,71.09765625
1.81,88.01875305,77.57042694
1.82,86.7003479,77.70088959
1.83,87.83306122,77.71774292
1.84,85.71411133,69.82962799
1.85,87.08204651,73.07824707
1.86,89.55469513,67.1268692
1.87,85.82073212,67.10663605
1.88,88.14138031,70.71950531
1.89,86.90184784,61.131073
1.9,85.59368134,64.16062164
1.91,87.56858826,68.01919556
1.92,88.81095123,73.31478882
1.93,86.10215759,73.89316559
1.94,86.71076202,69.94021606
1.95,87.83712769,72.15927124
1.96,86.22402191,74.81826019
1.97,84.51194,75.10228729
1.98,87.44239807,66.43895721
1.99,88.34230804,67.26144409
